CLASS,SENTENCES,SNO
B,ہ نئی احتیاط دیکھی ہے آئینے سے حجاب کرتے ہوایک دن نہ عدم جو پی تو کیاروز شغل شراب کرتے ہوعبدالحمید عدم ,178
B,اپنے باپ شوبازشریف کو بول پہلے وہ پنجاب کو بچالے اور تو اپنی بجلی پر توجہ دے ۔ ماما نا بن خیبر پختونخواہ کا۔جعلی معزز بهڑوے سالے ,179
C,اسلام آباد میں محرم الحرام کا چاند نظر آ گیا۔ نیا اسلامی سال مبارک ہو۔ ہم سب کے لیے برکت اور آسانی کا باعث بنے ۔آ مین ,180
C,"دانستہ چھوڑ جاؤں گا میدان ، اور تُمہارے ہوئے رہو گے ، اگر جیت بھی گئے ",181
C,افغانستان: آخری امریکی اور برطانوی دستوں کا آپریشن ختم کرنے کا فیصلہ ,182
B,"ﻣﺮﯾﻢ ﻧﻮﺍﺯﮐﯽ ﯾﻮﺗﮫ ﻟﻮﻥ ﺍﺳﮑﯿﻢ ﮐﯽ ﭼﯿﺮﭘﺮﺳﻦ ﺗﻌﯿﻨﺎﺗﯽ ﮐﮯﺧﻼﻑ ﺩﺭﺧﻮﺍﺳﺖ ﮐﯽ ﮨﺎﺋﯿﮑﻮﺭﭦ ﻣﯿﮟ ﺳﻤﺎﻋﺖ ﺍﺩﺍﺭﮮﮐﯽ ﺗﺸﮑﯿﻞ،ﭼﯿﺮﭘﺮﺳﻦ ﮐﯽ ﺗﻘﺮﺭﯼ ﮐﮯﻃﺮﯾﻘﮧ ﮐﺎﺭﺍﻭﺭﺩﯾﮕﺮﮐﺎﺭ۔۔ ",183
C,اس عمر کے مرتبے کا میں کیا تذکرہ کرسکتا ہوں کہ جس کے ہونٹوں سے نکلے الفاظ کو خدا قرآن بنا کر اتار دیتا ہے ۔سیدنا عمر فاروق رضی اللہ عنہ ,184
B,"صرف 16 فیصد کے بل زیادہ آئے ،انھوں نے بجلی زیادہ استعمال کی، خواجہ آصف ",185
C,"اج بهت سے لوگو کو طاهر القادری کا فیصله سمج نهی ایا، کل پهر انهی لوگو کا کهنا هو گا طاهر القادری ڻهیک کهتے تهے ۔ ",186
C,کراچی :این ای ڈی یونیورسٹی میں ایڈمیشن کیلئے انٹری ٹیسٹ کا اعلان ہو گیا۔ ,187
A,پہلے دو تین گھونٹ کے بعد چائے بس گرم میٹھا پانی ہی رہ جاتی ہے ,188
A,جزاک اللہ میں اسی کے انتظار میں ابھی تک سویا نہیں ,189
A,ڈانس ڈائریکٹر پپو سمراٹ نے اپنے کام کا مظاہرہ کیا ,190
C,تمام مسلمانوں کو نیا اسلامی سال مبارک ۔۔۔شہادت امیر المومنین سیدنا فاروق اعظم علیہ السلام اور سیدنا حسین علیہ السلام پر ہدیہ تعزیت ,191
C,"رسول ﷲ ﷺ نے فرمایا: خبردار کبھی بالارادہ نماز نہ چھوڑنا، کیونکہ جس نے دیدہ و دانستہ اور عمداً نماز چھوڑدی تو اللہ کا ذمہ اس سے بری ہے (ابن ماج) ",192
C,"تحریک انصاف استعفوں کے موقف پر قائم ہے ،نظام کی تبدیلی چاہتے ہیں ،شیریں مزاری"" ",193
B,مذہب کی چادر میں بدنما داغ ہیں ۔ ان بدنما داغوں کو دیکھنے کے لیے عقیدت کی عینک کو اتارنا پڑتا ہے ۔ ہم اکثر سمجھتے ۔۔۔ ,194
C,چندے سے انقلاب لانے سے بہتر ہے کے ہم کسی مستحق کی امداد کریں اور اسکی زندگی کو خوشحال کر دیں - ,195
B,لگتا ہے آسٹریلیا کی ٹیم بہت برا پرفارم کر رہی ہے ۔ ہماری حالت تو جوں کی توں ہے ,196
C,"حضرت آسیہ رضی اللہ تعالٰی عنہا نے اپنا ایمان اپنے شوہر فرعون سے چھپایا تھا، جب فرعون کو اس کا پتہ چلا تو اس نے ۔۔۔ ",197
C,ڈاکٹر طارق سلیم کو امیر ضلع گجرات منتخب ہو گئے ,198
B,"آپ میں سے وہ جنہوں نے جنرل ضیاع ال یک کا دور دیکھا ہے ، جان سکتے ہیں کہ ہم لوگ کس کرب سے گزرے ہوں گے پچھلی دو ٹویٹس ملاحظہ ہوں ",199
C,لاہور: جانوروں کا گوشت بھی قبضہ میں لے لیا گیا۔ ,200
B,چندے سے انقلاب انقلاب تو بهاگنا ہی تها جہاز سے کنٹینر سے جہاز ا ,201
A,مذہبی امور کے وزیر سردار محمد یوسف اور رکن قومی اسمبلی محمد صفدر نے اسلام آباد میں وزیر اعظم محمد نواز شریف سے ملاقات کی ,202
A,لاہور: عوام نے مینڈیٹ دیا ہے دھرنوں سے فرق نہیں پڑتا۔ صوبائی وزیر قانون ,203
B,"پاکستان کی قومی کرکٹ ٹیم کے سابق کپتان شعیب ملک کا باوٴلنگ ایکشن بھی مشکوک قرار دے دیا گیا، روزنامہ اُردو پوائنٹ ",204
C,بھارتی مقبوضہ کشمیر میں بین الاقوامی مبصر کی تعیناتی خطے میں پائیدار امن کیلئے ناگزیر ہے ,205
A,نئ گیند ,206
C,"اسکاٹ لینڈ کے لوگوں کو ریفرنڈم کا حق دیا جا سکتا ہے تو کشمیر یوں کوکیوں نہیں ، مختلف ممالک میں بیٹھے ہمارے سفارت کاران معاملات پر کام نہیں کر رہے ،اویس لغاری ",207
C,"آسٹریلوی ماہرین کا طبی میدان میں اہم کارنامہ ، مردہ دل کی کامیاب پیوند کاری ",208
B,رانا مشہود نہیں رانا مشکوک ,209
A,سبزے کو جب کہیں جگہ نہ ملی بن گیا روئے آب پر کائی ۔۔ غالب ,210
B,"پاکستان میں "" تعلیم"" کہاں ؟؟ ",211
B,"45 سے پیپلز پارٹی ایک ھی نعرہ لگا کرحکومت میں آتی رھی اورمکرتی رھی۔ کیاپوچھاکبھی کسی نے کہ کدھرھے روٹی, کپڑا اورمکان۔ ",212
B,بجلی کی قیمتوں میں 52پیسے فی یونٹ اضافے کا امکان ,213
B,"ٹویٹر معاشرے کی تباہی اور تمام برائیوں کی جڑ ہے ، سعودی مفتی اعظم ",214
A,"ﺁﺧﺮﯼ ﻓﺘﺢ ﺧﺎﻣﻮﺷﯽ ﮐﯽ ﮨﻮﺋﯽ ۔۔ﺍﻭﺭ ﺁﻭﺍﺯ ، ﻓﻨﺎ ﮨﻮ ﮔﺌﯽ ۔۔۔ ",215
C,"بلدیاتی الیکشن کرانے کو تیار ہیں ، الیکشن کمیشن اجازت دے via ",216
C,مجھے سیدنا عمر فاروق رضی اللہ عنہ سے محبت اس وجہ سے بھی ہے کہ میں نے دیکھا کہ آدھی دنیا کا حکمران سر کے نیچے اینٹ رکھے درخت کے سائے تلے سویاہے ,217
B,آپ کہاں سے ہو بھیا کینیڈا سے یا شوکت خانم ہسپتال میں پیدا ہوئے تھے ؟ چندے سے انقلاب ,218
C,"اووووووئے پاکستانیوں دس بیس روپے چندہ دو مجھے ، تمہارے لئے دھرنے دے رہا ہوں ! اگر آ نہیں سکتے ، چندہ تو دے سکتے ہو ناں !!!!چندے سے انقلاب ",219
A,لوگوں پر ایک ایسا زمانہ آنے والا ہے کہ جس میں آدمی کو پرواہ نہیں ہوگی کہ جو وہ لے رہا ہے آیا کہ حلال ہے یا حرام(صحیح بخاری) ,220
C,فرانس: اب ڈرونز بھی ریس لگاتے نظر آئیں گے : پیرس۔۔۔۔۔۔۔۔کار ریسنگ اور بائیک ریسنگ ماضی کا قصہ ہوگئی ہیں کیونکہ۔۔۔ ,221
B,اعصاب شکن میچ میں کپتان ایسی ہی غلطیاں کرتا ہے ۔ عمران خان ,222
B,® مریم نواز کی بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری پر وفاقی حکومت سے جواب طلب ہائی کورٹ نے وفاقی حکومت سے وزیر ۔۔۔ ,223
A,وہ تو بس ایسے ہی دل چاہ رہا تھا میرا ڈائلاگ مارنے کا :) ,224
C,کچھ لوگوں کو شکریہ کہنا ہے جو۔۔۔پٹوریوں کو ان کی زبان میں جواب دیتے ہے اورکا دفاع کرتے ہے وغیرہ کو ,225
C,خوبصورتی کی انتہاء ہو گئی ۔۔۔۔ ,226
C,عمران اگر اپنے بچوں کی صحیح تعداد بتا دے اور اپنا ڈوب ٹیسٹ که وه نشئی نھیں ھے وه چیک کروا تو شاید کچھ اور لوگ اس کی حمایت کردیں ,227
B,کوئی بھوک سے مر گیا اور کسی نے خودکشی کر لی تو کیا ہوا غریب تو مرتے ہی رهتے ہیں کسی کو انقلاب کی فکر ہے اور کسی کو حکومت کی ,228
A,اچھا اچھا صدر میں گھوم رہیں وہاں میرے پُھپُھا کی دُکان تھی لائف بُکس کے نام سے اور کراچی کمپنی میں فاران بُکس کے نام سے ,229
A,کیا اس سے زیادہ بھی تماشے کی تمنا ھے تمھیں ,230
C,عوامی تحریک جمعہ کو ایبٹ آباد میں جلسہ کرے گی: انقلابیوں کا اگلا پڑاؤ اب ایبٹ آباد میں ہوگا… ,231
C,بازؤوں سے محروم امریکی نو جوان ماہر گٹارسٹ بن گیا: نیویارک ۔۔۔۔۔۔ امریکہ سے تعلق رکھنے والے دو ۔۔۔ ,232
A,نورا اپنے رشتے دار پر سوار- ,233
A,اگرچہ انسان کو مقدر سے زیادہ رزق نہیں ملتا لیکن رزق کی تلاش میں سستی نہیں کرنی چاہیے ۔ ,234
C,اورنگی ٹاؤن کے 2 بچوں میں پولیو وائرس کی تصدیق ,235
B,ملک میں مذہب کے نام پر فرقہ واریت کی آگ بھڑکائی جا رہی ہے جس سے ملک کھوکھلا ہو رہا ہے : طارق جمیل ,236
B,اسلام آباد دھرنا ختم کرنے پر ایک ایسی پارٹی کے کارکنان بھی زہر اگل رہے ہیں جن کے سربراہ پہلے دن سے ہی دن رات۔۔۔ ,237
B,اگرزمینی حقائق یہ بتلاتے ہوں کہ یہ ایک خنریزسیاسی سرگرمی ہے ۔ ,238
A,"لاہور: انٹری ٹیسٹ کو ختم نہیں کیا، معاملہ زیر غور ہے ۔ صوبائی وزیر رانا مشہود ",239
C,کراچی: ایدھی سنٹر پر ڈاکے کا مرکزی ملزم گرفتار عیدھی صاحب پہلے بھی آپ کی ۲۳ سالہ دلہن کڑوڑوں روپے لے اڑی تھی ,240
B,کرکٹ کی اس بیکار ٹیم پر کیوں پاکستان کا قیمتی زرمبادلہ خرچ کیا جا رہا ہے یہ کبھی نہیں جیت سکتے ۔۔ ان کو دفع کرو ,241
C,لگ تو یو ہی رہا ہے کہ پاکستان میچ آسانی سے جیت لے گا ,242
B,دیکھو نعرے مت مارو اس نشئی عمران کا ذریعه معاش بتادواگر تمھیں پته ھے تو میں اس لاکھ درجے خود دار ھوں اپنی کھاتا ھوں ,243
A,قادری صاحب سمجھ تے تسی گے ہو گے ,244
C,حضرت اسما بنت یزید سے روایت ہے کہ رسول الله صلی اللہ علیہ وسلم نے ارشاد فرمایاکہ:قیامت کے دن سب لوگ (زندہ کیے جانے کے بعد) ایک وسیع اور ہموار ,245
B,"ﮐﻤﯿﺸﻦ ﻧﮯﻧﻨﺪﯼ ﭘﻮﺭﺑﺠﻠﯽ ﻣﻨﺼﻮﺑﮯﻣﯿﮟ ﺗﺎﺧﯿﺮﮐﺎﺫﻣﮯﺩﺍﺭﻭﺯﺍﺭﺕ ﻗﺎﻧﻮﻥ ﮐﻮﻗﺮﺍﺭ ﺩﯾﺎ، ﺗﺎﺧﯿﺮﮐﮯ ﺑﺎﻋﺚ ﻭﺯﺍﺭﺕ ﺧﺰﺍﻧﮧ ﮐﻮ 113 ﺍﺭﺏ ﺭﻭﭘﮯ ﮐﺎ ﻧﻘﺼﺎﻥ ﮨﻮﺍ، ﻭﺯﺍﺭﺕ ﭘﺎﻧﯽ ﻭ ﺑﺠﻠﯽ ",246
C,آپ صلی الله علیہ وسلم نے فرمایا اگرجھک جانے ( عاجزی اختیار کرنے ) سے تمہاری عزت گھٹ جاے تو قیامت کے دن مجھ سے لے لینا( صحیح مسلم حدیث 784 ) ,247
B,: نواز شریف کے استعفے کے بغیر کنٹینر سے نہیں نکلوں گا - عمران خان (جھوٹے ہر روز نکلتا ہے بنی گالا بھی جاتا ہے :پ) ,248
A,پیپلز پارٹی نے ہمشہ سندھ کارڈ استعمال کیا : الطاف حسین ,249
C,دبئی ٹیسٹ یونس خان کے نام ٹیسٹ کے دونوں اننگز میں سنچری لگاکر پاکستان کی تاریخ میں سب سے زیادہ سنچریاں بنانے والے کھلاڑی بن گئے ,250
B,"یہقاں تو فالوور بھی جان کو اٹک جاتا ہے ،لیڈر سے سوال کرنے کی کون جراؑت کر سکتا ہے ۔ ",251
B,"منڈی بہاوالدین: شیخ علی پور کے قریب نامعلوم نوجوان کی نعش برآمد، ",252
C,عوامی تحریک کا دھرنا ختم ہونے پر اسلام آباد میں عید کا سماں ,253
C,۔کیا زبردست دن تها آج پاکستان کرکٹ ٹیم کے لیے ۔۔پہلے تو احمد۔۔۔ ,254
B,"قرآن و سنت کی روشنی میں لفظ مہاجر کی بے حرمتی پر فتویٰ جاری کیاجائے گا ، احتجاجی پروگرام کا انعقاد اور بھوک ہڑتال کی جائے گی ",255
C,"دبئی: پہلا ٹیسٹ، پاکستان کا آسٹریلیا کیخلاف ٹاس جیت کر بیٹنگ کا فیصلہ ",256
B,بریکنگ :- لاہور میں مردہ جانوروں کا گوشت فراہم کیے جانے کاانکشاف ,257
C,ﭘﺎﮐﺴﺘﺎﻥ- ﺁﺳﭩﺮﯾﻠﯿﺎ ﭨﯿﺴﭧ ﺳﯿﺮﯾﺰ ﺳﮯ ﻗﺒﻞ ﺑﯿﻦ ﺍﻻﻗﻮﺍﻣﯽ ﮐﺮﮐﭧ ﮐﻮﻧﺴﻞ ﻧﮯ ﭨﯿﺴﭧ ﺭﯾﻨﮑﻨﮓ ﺟﺎﺭﯼ ﮐﺮﺩﯼ ﮨﮯ ,258
A,میں حُر ہوں ابھی لشکرِ یزید میں ھوں میرا حسینؑ ابھی کربلا نہیں پہنچا ,259
B,"جناب اسپیکرلاہور میٹرو بس منصوبہ ایک ارب 65 کروڑ 87 لاکھ روپے سالانہ خسارے میں چل رہا ہے ، دستاویز ",260
C,میرا کپتان نہی بولا تو ہمیں بھی AT کے دوستو کو کچھ نہی بولنا۔ہمیں اپنے راستے پر چلنا ہے اور منزل کی جانب بڑھنا ہے ۔انشااللہ نیا پاکستان ,261
B,بالکل ایسا ہی ہے بھائی۔۔۔ سیاسی دھرنا اور مذہبی اجتعمات پر دونوں پہ پابندی لگنی چاہییے ,262
B,"غازی تربیلہ: گورنمنٹ پرائمری اسکول الدو میں دوران اسمبلی بجلی کی تارگرگئی،11طلبہ جھلس کرزخمی،اسپتال منتقل،پولیس ",263
A,یہ بھی حقیقت ھے کہ لوگ اپنی سیاسی قائدین پہ اندھا اعتماد کرتے ہیں ,264
A,ان جیسے دوست سے بہتر ہے اکیلا رہنا ,265
B,عوام کو مصروف رکھو بیوقوف بناتے رہو اور ملک لوٹتے رہوصوبے کا ڈرامہ رچا تے رہو کراچی کے عوام کو بیوقوف بنا تے ۔۔۔ ,266
A,چور زیاده شور مچاتا ھے کورٹس زنده آباد اور قادری عمران اور مبشر سازشی مرده آباد ,267
B,بات کہنی ہو کوئی وعدہ نبھانا ہواسے آواز دینی ہو اسے واپس بلانا ہوہمیشہ دیر کر دیتا ہوں میں مدد۔۔۔ ,268
C,تحریک انصاف نے استعفوں کی تصدیق کیلئے اسپیکر کے سامنے پیش ہونے کا فیصلہ کرلیا - سچ ٹی وی ,269
C,محرم کاچاند نظر آگیا کراچی :ﮈﯼ ﺟﯽ ﺭﯾﻨﺠﺮﺯ ﮐﯽ ﻣﺤﺮﻡ ﮐﮯ ﺩﻭﺭﺍﻥ ﺍﺳﻠﺤﮧ ﻟﮯ ﮐﺮ ﭼﻠﻨﮯ ﻭﺍﻟﻮﮞ ﮐﯿﺨﻼﻑ ﺳﺨﺖ ﮐﺎﺭﺭﻭﺍﺋﯽ ﮐﯽﮨﺪایت ,270
A,﷽ ٭ قل ھواللہ احد٭ اللہ الصمد ٭لم یلد ولم یولد ٭ولم یکن لہ کفواً احد٭ ,271
B,سابق چیف جسٹس پاکستان کو شدید خطرات لاحق via ,272
B,اس بات کو ماننے میں کوئی تعامل نہیں کہ ہم اپنے مقصد میں 100% کامیاب نہیں ہوئے ۔ مگر ہم نے اس نظام پر کاری ضرب ضرور۔۔۔ ,273
C,چابی والا بابا ڈیزل خان سے گیم کر گیا۔ ضمنی انتخابات میں تحریک الزام کی خالی سیٹوں پر الیکشن لڑے گا جس کو تحریک انصاف مجبوراً سپورٹ کرے گی ,274
A,نو منتخب امیر جماعت اسلامی ضلع اٹک اقبال خان حلف لے رہے ہیں ۔۔ ,275
A,یہ نیا لڑکا شاہ بھی کوئی اخیر ہی ٹیلنٹ ہے بھی تعریفیں کر رہا ہے ۔ ,276
C,"منڈی بہاؤالدین: انڈر دی ٹری پرائمری سکول،اکیسویں صدی جہاں پوری دنیامیں سائنس اور ٹیکنالوجی کاراج ہے اور تمام۔۔۔ ",277
A,9 غذائیں جو رکھیں آپ کو سدا جوان ,278
C,"جوانوں حاضری لگانے کا وقت هو چکا هے ؟ ,آفواج پاکستان زندہ باد ",279
B,اب دامن حیات میں کچھ بھی نہیں رہافردا کی سرد آگ میں حالات جل گئے کلیات چٹک رہی ہیں کہ شاخوں پہ آبلے غنچوں کی مہکتوں سے میرے ہاتھ جل گئے ,280
A,الھم صلی علی محمد ﷺ ,281
A,قادریBVسے بولے ۔۔۔ڈاکٹر نے مجھے دانتوں میں کیڑا بتایا ھے بیوی ڈاکٹر نے آپکو بماری تو سہی بتائ پر جگہ غلط بتادی ہنسنا منع ہے الوداع انقلاب ,282
A,نیلے پاسپورٹ کی حفاظتی چھتری تلے رہنے والے لوگ ,283
C,مینار پاکستان سے تکمیل تحریک پاکستان کے ایجنڈے کولے کر ملک بھرمیں اس تحریک کو پھیلائیں گے ۔ امیر صوبہ ڈاکٹر وسیم۔۔۔ ,284
B,کچھ بھی نھیں ھوگا۔اسکا نوٹس تو سپر کورٹ کو خود لینا چاہیے تھا بھت پھلے ۔کوکین اب گولی کے نت نئے مزے مدھوشی !! ,285
C,ذیاد کدھر ھو بھائی دھائی ھے دھائی قادری نے لے لی ھڈی اور کس لی اپنی چڈی اب کینیڈا جائے گاپھر اگلے سال آئے گا ,286
C,"کوئٹہ:دہشتگردی کا بڑا منصوبہ ناکام،دھماکا خیز مواد برآمد ",287
A,"ہن تے سردیاں آ گیی ین نے ، لسی ویسے ہی مک جانی جے ",288
B,تحفظات دور کرنے کی بجائے معطل کر دیا گیا : جاوید نسیم ,289
C,ملک بھر میں سردی نے اپنی جھلک دکھلا دی ,290
B,1/2 ایک جماعت سندھیوں کے جذبات سے کھیل رہی ہے کہ مہاجر قابض ہو رہے ہیں جبکہ دوسری جماعت مہاجروں کے جذبات سے کہ سندھی قابض ہو رہے ہیں ,291
C,سب سے بڑی دولت زبان ذاکر دل شاکر اور زن فرمانبردار ھے )امام غزالی(جس کے پاس بیوی گھر نوکر اور سواری ھو وه بادشاه ھے )مجددالف ثانی( ,292
A,"زیر نظر تصویر میں نوجون قیادت کے پیچھے جماعت کی پوری قیادت ہے ۔۔ اسے صحیح اسلامی جمہوریت کہتے ہیں ۔۔ جو تقویٰ،۔۔۔ ",293
C,مشیر کے عہدے کیلئے لطیف بٹ کی جگہ خالد محمود لیں گے ۔ ,294
C,نومنتخب ضلعی ذمہ داران جماعت اسلامی راولپنڈی جنرل سیکرٹری راجہ جواد احمد ۔نائب امراء سجاد احمد عباسی ۔ابو عمیر۔۔۔ ,295
A,لوگو ! کتاب کا خزانہ ہو جاؤ اور علم کے چشمے بن جاؤ اور روزانہ اللہ سے روزی مانگو۔ اگر تمہارے پاس بہت زیادہ روزی نہیں تو کوئی نقصان نہیں عمرؓ ,296
A,ساقی تیری محفل میں ھم جام اچھالیں گے گر کچی بھی نا ملی تو کام ڈیزل سے چلا لیں گے چندے سے انقلاب ,297
C,مٹھائی ہم امپائر کی انگلی کھڑی ہونے کے بعد کھائیں گے پہلے جنریٹر کے لئے ڈیزل منگوا لوں ,298
B,": مولانا ڈیزل سے ڈیزل خان تک کا شرمناک سفرڈیزل آ نہیں رہا ، ڈیزل آ گیا ہے ",299
B,تم سے بڑا گھپلا کون ہے ,300
C,اسلام آباد اور پشاور میں محرم الحرام کا چاند نظر اگیا هے تمام اھل اسلام کو نیا سال مبارک ھو ,301
C,محرم الحرام کا چاند نظر آگیا۔۔۔ نیا ھجری سال 1436 مبارک هو۔۔۔ ,302
B,"نا اہلی اور رکنیت معطلی کے باوجود بھی افس پر قبضہ کیے ہوئے ہیں ،قبضہ گروپ اپنی سیٹوں کو چھوڑنے والے نہیں ،تحریک۔۔۔ ",303
B,تحریک انصاف کا صدرہاشمی حساس وقت پر ساتھ چھوڑ جائے تو خان کوفرق نہیں پڑا۔ قادری کے جانے سے کیوں پڑے گا جو تحریک انصاف کا ممبر بھی نہیں ۔ ,304
C,تہمتیں تو لگتی ہیں روشنی کی خواہش میں گھر سے باہر آنے کی کُچھ سزا تو ملتی ہے لوگ لوگ ہوتے ان کو کیا خبر جاناں !۔۔۔ ,305
B,دہشت گردی سے بھی زیادہ اموات ہر سال زہریلی شراب کی وجہ سے ہوتی ہے ۔ دہشت گردی اور ’’قدرتی‘‘ آفات کی طرح گھٹیا شراب سے بھی غریب ہی مرتا ہے ,306
B,کینیڈا کی پارلیمنٹ میں فائرنگ کی ویڈیو جاری ,307
C,دبئی ٹیسٹ: پاکستان کے دونوں اوپنرز 7 رنز پر آؤٹ: دبئی ٹیسٹ میچ میں پاکستان ٹاس جیت کر آسٹریلیا۔۔۔ ,308
C,حضرت امام حسین کا صبر شکر توکل اور رضائے الٰہی کائنات کے انسانوں کیلئے علم و عرفان کا مینار ہیں ‘ ۔۔۔ ,309
C,لاہور: وائرس کے مریضوں کے علاج کے لئے تربیت دی جارہی ہے ۔ڈی جی ہیلتھ ,310
A,قیامت کی نشانیاں ,311
A,"کس نے کھیل کھیلا ہے ، کس نے ہجر جھیلا ہے اب گزر گیا جاناں اس سوال کا موسم ",312
C,4 سال بعد مگر انصاف مل گیادہلی کی ایک عدالت نے اجتماعی ریپ کیس کے تمام پانچ قصورواروں کو عمر قید کی سزا سنائی ہے ,313
A,"جی دوستوآج کاسوال; کیمرہ کس نے ایجاد کیا؟ جواب دیں انعام جیتیں ، ",314
C,پی آئی اے میں 12 ڈائریکٹرز کے تقرر کی اجازت 17 کام کررہے ہیں ,315
C,بنوں میں دوستانہ میچ آئی ڈی پیز کی شاہد آفریدی الیون نے جیت لیا ,316
B,طاہر القادری پاکستان تین مہینے کے لے آیا تھا۔ویزے کی مدت ختم دہرنا ختم اورقادری اپنے ملک روانہ ,317
A,وہ لوگ جنھوں نے ہندوؤں کی دیکها دیکهی کل دیوالی منا ئ یامبارک باددی ان سے پوچھنا یہ ہے کہنیکسٹ ,318
B,منہ توڑ جواب! پاگلوں کا جنگی جنون اور معصوم لوگوں کا قتلِ عام! بس یہی ہے وہ کہانی۔۔۔ ,319
C,اجے دیوگن کی فلم ''ایکشن جیکسن'' کا پہلا پوسٹر جاری ,320
C,پیار بھرے دو شرمیلے نین چندے سے انقلاب ,321
A,ميری پرواز جاں ميں حائل ہے سانس ٹوٹے ہوئے پروں جيسی دل کي بستی ميں رونقيں ہيں مگر چند اجڑے ہوئے گھروں جيسی ,322
C,"پاک،چین سرحدوں کی نگرانی کیلئے بھارت کا ڈرون طیارے استعمال کرنے کا فیصلہ ، روزنامہ اُردو پوائنٹ ",323
B,اے آروائی اربوں خرچ کرکے بھی اتنی پبلیسٹی حاصل نہیں کرسکتاتھاجتنی لوھارراج کے 'شاہ' لوہا نواز اسے بند کرکے دے رھے ھیں ,324
B,دانشمندی نہیں ہے کہ آپ وزیر اعظم کا استعفے مانگتے مانگتے خود اپنے استعفیٰ دیدیں ۔ تحریک انصاف اسمبلیوں میں بے شک نہ جائے لیکن استعفے نہ دے ,325
A,غلط انسان سے ریٹ پوچھ رہے کیا پتا زیادہ ریٹ بتادے اصل ریٹ ٹویٹ والی سرکار سے پوچھیے ,326
A,اور اگر کہیں فٹ ہوتی تو وہاں کر بھی لیں :( ,327
C,پاکستان تحریک انصاف کا 29اکتوبر کو استعفوں کے معاملے پر بات کرنے کیلئے اسپیکر قومی اسمبلی کے سامنے پیش ہونے کا فیصلہ ,328
C,"ﺑﮩﺘﺮﯾﻦ ﻟﻮﮒ ﺑﮩﺘﺮﯾﻦ ﻧﯿﺖ ﺭﮐﮭﺘﮯﮬﯿﮟ ﺟﺲ ﮐﯽ ﻭﺟﮧ ﺳﮯﺭﺏ ﺍﻥ ﮐﮯ ﺗﻤﺎﻡ ﮐﺎﻣﻮﮞ ﮐﻮ ﺳﻨﻮﺍﺭ ﺩﯾﺘﺎ ﮬﮯ،ﺍﻭﺭ ﺟﺲ ﮐﺎﻡ ﮐﻮ ﺭﺏ ﺳﻨﻮﺍﺭ ﺩﮮ ﺍﺳﮯ۔۔۔ ",329
B,دلالوں کی اصلیت اب کسی سے چھپی نہیں رہی ہے ۔ کل تک جو نظام لپیٹنے کی باتیں کر رہے تھے آج کھسیانے ہو کر اسی نظام۔۔۔ ,330
A,میں ڈیزل ڈیزل کردی آپے ڈیزل ہوئی ۔۔ ,331
B,"اسے میرا، مجھے اس کاخسارہ۔۔۔۔ مار ڈالے گا ",332
B,صحرائے سینا میں ہنگامی حالت کا نفاذ: مصر کی حکومت نے میں دو مختلف حملوں میں 31 فوجیوں کی ہلاکت۔۔۔ ,333
A,ایک دن مرنے کے لیے ساری زندگی جینا پڑتا ہے ,334
C,"حضرت عمرؓ کے زمانہ خلافت میں جامع مساجد کی تعداد بارہ ہزار (12،000) تک پہنچ چکی تھی ۔ از نظام الحکومۃ الاسلامیہ ، جِلد دوم ۔ ",335
B,مریم نواز کی بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری پر وفاقی حکومت سے جواب طلب ,336
C,بعض اہلِ نظر کی رائے میں نئے صوبوں کی تقسیم اس طرح بھی ممکن ہے ۔ ,337
A,ثریااب تو مجھے سب ٹویٹیں مارے گا:ڈ ,338
B,TI کی یہ اچھی پالیسی ہے کہ مختلف بہانے کرکے کسی کیس کو تاخیرمیں ڈالتے رہو اور عوام کے سامنے معصوم بن کرجھوٹ بولتے رہو کہ ہمیں تو انصاف نہیں مل رہا ,339
B,اب کے برس بہار بصیرت کو ڈس گئی فکرو نظر کے جھومتے باغات جل گئے ساغر کٹے کٹے ہیں ستارے بجھے بجھے شائد میرے نصیب کے دن رات جل گئے ,340
C,حکومت ماروی میمن اور خسرو بختیار کو وفاقی وزیر بنارہی ہے جبکہ شاہد خان کو چئیرمین نادرا بنارہی ہے جسے تحریک۔۔۔ ,341
A,اپ ڈیٹ کرو ٹھیک ہو جائے گا ,342
A,ہاہاہا ہزارہ تو کھڑا ہے کیا حضرت صاب بھی کھڑے ہیں یا انہیں بھی رُلانے کا پلان ہے ؟؟؟ ,343
B,بھارتی الیکشن کمیشن کامقبوضہ کشمیرمیں نام نہاد انتخابات کا اعلان: نئی دہلی۔۔۔۔۔۔بھارتی الیکشن ۔۔۔ ,344
B,ڈآکٹر دانش ( سوال یہ ہے ) اے آر وائی کا ٹیوٹر اکائونٹ ہیک ہو گیا ہے کوئی بھی شخص ان کو ٹیوٹ نہ کر ے اور نہ ہی۔۔۔ ,345
C,محبت مجھے ان جوانوں سے ہے ڈیزل پے جو ڈالتے ہیں کمند علامہ عمران اقبال خان ,346
A,زندگی اپنے لہو کا نام ہے زندگی ایک آرزو ے خام ہے زندگی حسرت بھری فریاد ہے زندگی گویا کسی یاد ہے سوزش درد جگر ہے ۔۔۔ ,347
